Day,Street Name,Latitude,Longitude,Violation Time,Zone,Parking Violation
5,Jerome Ave,40.8446726,-73.9145136,2242,137,1
2,Landing Rd,40.8624652,-73.9112658,2034,124,1
5,W 31st St,40.7471998,-73.9875144,2143,131,1
3,38th St,40.7709006,-73.9098041,2144,131,1
2,E 26th St,40.621579,-73.949748,2139,130,1
4,161st St,40.7337777,-73.8077877,2049,125,1
1,Bronx River Ave,40.835383,-73.8782557,2038,124,1
4,90th St,40.75053,-73.876876,2126,129,1
1,Bedford Ave,40.7178272,-73.9577249,2228,135,1
2,W 151st St,40.826626,-73.939149,2106,127,1
4,Anderson Ave,40.634842,-74.134234,2216,134,1
2,Nassau St,40.70953,-74.008418,2019,122,1
2,E 74th St,40.7710532,-73.9596512,2051,126,1
5,97th Ave,40.687012,-73.843098,2205,133,1
5,Kingsbridge Ter,40.8701933,-73.9054376,2030,124,1
1,Loring Pl,40.8627224,-73.9076202,2019,122,1
3,West End Ave,40.7764553,-73.9869457,2129,129,1
5,W 34th St,40.7497396,-73.987639,1950,120,1
2,W 59th St,40.7646364,-73.9737661,1930,118,1
3,W 146th St,40.8222816,-73.9385175,2200,133,1
4,Dean St,40.6830984,-73.9791142,2101,127,1
3,W 238th St,40.8889687,-73.9125474,2115,128,1
2,Bronxdale Ave,40.8516256,-73.8678673,2045,125,1
4,4th Ave,40.7366387,-73.9890162,2106,127,1
3,Woodycrest Ave,40.838685,-73.922977,2147,131,1
4,E 184th St,40.854689,-73.890389,2038,124,1
2,36th St,40.6543115,-74.0044311,2124,129,1
5,Beverley Rd,40.6466469,-73.9245987,2058,126,1
5,Pierrepont St,40.696311,-73.997078,2208,133,1
3,W 138th St,40.8217009,-73.9529081,2151,132,1
4,6th Ave,40.7497204,-73.987817,2004,121,1
3,W 174th St,40.84718,-73.921345,2054,126,1
3,Teller Ave,40.830936,-73.912395,2149,131,1
4,W 204th St,40.867818,-73.923623,2040,125,1
3,47th St,40.771362,-73.8998657,2206,133,1
1,Ft Washington Ave,40.8592113,-73.934246,2037,124,1
3,Park Pl,40.673056,-73.9434627,2157,132,1
3,9th Ave,40.862394,-73.918015,2203,133,1
1,Anderson Ave,40.634842,-74.134234,2129,129,1
2,Main St,40.7569493,-73.8289256,2122,129,1
3,Austin St,40.706002,-73.8259549,2032,124,1
2,83rd St,40.704821,-73.865872,2049,125,1
2,38th St,40.7709006,-73.9098041,2127,129,1
3,St Marks Pl,40.7285734,-73.9875926,2119,128,1
4,Onderdonk Ave,40.702838,-73.905284,2223,135,1
3,Amsterdam Ave,40.8467328,-73.9318876,2006,121,1
4,W 29th St,40.5741385,-73.9951298,2145,131,1
5,Emmons Ave,40.5830818,-73.9543584,2039,124,1
3,Hoffman St,40.856875,-73.887702,2003,121,1
2,Pinegrove St,40.688809,-73.802867,2059,126,1
3,E 19th St,40.6280965,-73.958081,2207,133,1
5,Roosevelt Ave,40.746238,-73.897224,2225,135,1
3,W 143rd St,40.8191141,-73.9371126,2136,130,1
3,Park Pl,40.673056,-73.9434627,2135,130,1
3,W 52nd St,40.7635851,-73.9852995,2048,125,1
5,W 33rd St,40.5726989,-73.9991284,1955,120,1
5,57th Ave,40.7343492,-73.8735708,2028,123,1
5,Cross Bronx Expy,40.8431488,-73.8912431,2130,130,1
5,Sackett St,40.679744,-73.986961,2113,128,1
2,63rd Ave,40.7231519,-73.8721722,2121,129,1
4,Parsons Blvd,40.7073827,-73.8037847,2026,123,1
5,E 33rd St,40.6113788,-73.9368975,1954,120,1
3,E 19th St,40.6280965,-73.958081,2210,134,1
2,Woodruff Ave,40.654457,-73.960783,2102,127,1
2,Tryon Ave,40.552945,-74.18256,2045,125,1
4,Madison Ave,40.7427202,-73.9866348,2032,124,1
5,160th St,40.7338809,-73.8078846,2004,121,1
3,St Marks Pl,40.7285734,-73.9875926,2107,127,1
3,8th Ave,40.74658,-73.9975495,2243,137,1
5,Broadway,40.892084,-73.8971095,2141,131,1
3,Amsterdam Ave,40.8467328,-73.9318876,2001,121,1
2,86th Ave,40.7094393,-73.8051305,2125,129,1
3,W 204th St,40.867818,-73.923623,2039,124,1
5,Lenox Ave,40.7664366,-73.9590168,2156,132,1
3,15th Ave,40.784355,-73.8448669,2229,135,1
2,E 228th St,40.889008,-73.856414,2221,135,1
2,Bronx Park East,40.853686,-73.869167,2125,129,1
5,Pugsley Ave,40.8325706,-73.857503,2209,133,1
1,W 58th St,40.7671189,-73.9817098,2012,122,1
1,E 33rd St,40.6113788,-73.9368975,1918,116,1
2,Willoughby St,40.6920468,-73.9824338,1917,116,1
4,Unionport Rd,40.8417948,-73.864282,2228,135,1
3,Southern Blvd,40.8331369,-73.8902783,2035,124,1
4,Eastchester Rd,40.8767087,-73.8461872,2044,125,1
4,Forsyth St,40.7149038,-73.9944664,1853,114,1
4,7th Ave,40.7630704,-73.9820256,2146,131,1
3,E 168th St,40.835412,-73.915385,2126,129,1
4,90th St,40.75053,-73.876876,2056,126,1
5,Pershing Cres,40.711748,-73.8146003,2135,130,1
3,70th Ave,40.7286207,-73.8257796,2059,126,1
3,114th St,40.692955,-73.832201,2008,121,1
1,5th Ave,40.801971,-73.945508,2208,133,1
3,2nd Ave,40.7843413,-73.9470257,2147,131,1
2,Amsterdam Ave,40.8467328,-73.9318876,2004,121,1
2,Kew Gardens Rd,40.711506,-73.828728,2215,134,1
5,Hughes Ave,40.848933,-73.89046,2050,126,1
2,St Nicholas Ave,40.8316081,-73.9411272,2202,133,1
2,70th Ave,40.7286207,-73.8257796,2120,129,1
5,Lafayette St,40.511003,-74.250689,2107,127,1
5,W 174th St,40.84718,-73.921345,2124,129,1
5,160th St,40.7338809,-73.8078846,2006,121,1
1,W 213th St,40.868251,-73.916139,2129,129,1
5,W 151st St,40.826626,-73.939149,2224,135,1
4,St Nicholas Ave,40.8316081,-73.9411272,2106,127,1
3,Edgecombe Ave,40.830292,-73.9402243,2230,136,1
3,W 233rd St,40.8800308,-73.9021057,2121,129,1
2,Carroll St,40.846319,-73.7833838,2129,129,1
5,6th Ave,40.7497204,-73.987817,2145,131,1
2,E 225th St,40.8839916,-73.848645,2200,133,1
3,White Plains Rd,40.8421201,-73.8649883,2112,128,1
5,W 203rd St,40.8611859,-73.9190291,2033,124,1
2,W 174th St,40.84718,-73.921345,2036,124,1
3,Princeton St,40.692346,-73.804688,1908,115,1
2,Reiss Pl,40.8581786,-73.8709694,2044,125,1
4,Walton Ave,40.83644,-73.918412,2027,123,1
2,Atlantic Ave,40.675959,-73.9044359,2026,123,1
2,Eastchester Rd,40.8767087,-73.8461872,2154,132,1
4,W 132nd St,40.8133636,-73.9450358,2042,125,1
5,W 142nd St,40.8181377,-73.9367533,2205,133,1
2,Baxter Ave,40.74704,-73.882989,2047,125,1
3,90th St,40.75053,-73.876876,2211,134,1
3,E 201st St,40.869871,-73.882819,2036,124,1
2,Farrington St,40.766745,-73.832714,2204,133,1
4,70th Ave,40.7286207,-73.8257796,2034,124,1
2,116th St,40.6934234,-73.8305536,2228,135,1
4,Washington Sq,40.7303993,-73.99701,2235,136,1
5,Emmons Ave,40.5830818,-73.9543584,2148,131,1
3,Anderson Ave,40.634842,-74.134234,2138,130,1
1,W 204th St,40.867818,-73.923623,2033,124,1
4,70th Ave,40.7286207,-73.8257796,2202,133,1
1,55th Ave,40.7356835,-73.8759725,2034,124,1
3,E 11th St,40.5827807,-73.9590022,2045,125,1
3,W 48th St,40.7604965,-73.9857348,2213,134,1
5,57th Ave,40.7343492,-73.8735708,2045,125,1
4,E 11th St,40.5827807,-73.9590022,2056,126,1
1,Waldron St,40.739291,-73.8528661,2123,129,1
4,38th St,40.7709006,-73.9098041,2141,131,1
5,Willoughby St,40.6920468,-73.9824338,2103,127,1
2,W 95th St,40.7939922,-73.9723054,2001,121,1
2,Baxter Ave,40.74704,-73.882989,2138,130,1
5,E 28th St,40.6073147,-73.9451569,2107,127,1
1,Lefferts Blvd,40.6657772,-73.8223616,2212,134,1
1,3rd Pl,40.7074064,-74.0169932,1858,114,1
4,E Tremont Ave,40.8416938,-73.8434859,2003,121,1
3,Otis Ave,40.5739589,-74.1083821,2102,127,1
2,3rd Ave,40.8043853,-73.9353347,1943,119,1
2,E 3rd St,40.602122,-73.969576,2118,128,1
2,85th Ave,40.711965,-73.807441,2116,128,1
3,10th Ave,40.8637912,-73.9194094,1900,115,1
5,W 20th St,40.7434266,-73.9998517,2153,132,1
5,W 26th St,40.7445213,-73.9907355,2205,133,1
2,Lenox Ave,40.7664366,-73.9590168,2108,127,1
5,Queens Blvd,40.7127672,-73.8275685,2114,128,1
2,E Tremont Ave,40.8416938,-73.8434859,2148,131,1
4,83rd St,40.704821,-73.865872,2140,131,1
5,114th St,40.692955,-73.832201,2047,125,1
4,Hughes Ave,40.848933,-73.89046,2050,126,1
5,Carpenter Ave,40.886608,-73.864505,2122,129,1
2,Hull Ave,40.726709,-73.898652,2150,132,1
4,23rd Ave,40.7664082,-73.8876634,2141,131,1
2,Hughes Ave,40.848933,-73.89046,2039,124,1
5,Morris Ave,40.8113652,-73.9270455,2121,129,1
2,Amsterdam Ave,40.8467328,-73.9318876,2212,134,1
3,Shakespeare Ave,40.8351662,-73.9239865,2127,129,1
3,Williamsbridge Rd,40.843362,-73.845173,2237,136,1
5,E 28th St,40.6073147,-73.9451569,2227,135,1
3,Hughes Ave,40.848933,-73.89046,2027,123,1
3,E 87th St,40.648106,-73.918515,2109,127,1
2,W 25th St,40.5729955,-73.9916599,1853,114,1
4,160th St,40.7338809,-73.8078846,2015,122,1
5,Ditmars Blvd,40.7698245,-73.9017602,2015,122,1
4,172nd St,40.764695,-73.793959,2100,127,1
2,Lawrence St,40.693088,-73.986226,2027,123,1
2,160th St,40.7338809,-73.8078846,2122,129,1
2,W 151st St,40.826626,-73.939149,2234,136,1
2,W 46th St,40.7625283,-73.9944373,2128,129,1
5,Hoffman St,40.856875,-73.887702,2006,121,1
1,E 115th St,40.7972005,-73.9403868,2030,124,1
3,W 48th St,40.7604965,-73.9857348,2037,124,1
2,Unionport Rd,40.8417948,-73.864282,2138,130,1
5,90th St,40.75053,-73.876876,2149,131,1
5,Perry Ave,40.5769115,-73.9370334,2154,132,1
5,Edgecombe Ave,40.830292,-73.9402243,2154,132,1
4,E 26th St,40.621579,-73.949748,1913,116,1
2,W 51st St,40.7603124,-73.9794674,2214,134,1
2,University Pl,40.7351048,-73.9917768,2230,136,1
3,Dean St,40.6830984,-73.9791142,2056,126,1
4,E 6th St,40.7220515,-73.9758144,2147,131,1
4,W 143rd St,40.8191141,-73.9371126,2023,123,1
2,Otis Ave,40.5739589,-74.1083821,2153,132,1
2,White Plains Rd,40.8421201,-73.8649883,2107,127,1
